"vod_id","type_id","type_id_1","group_id","vod_name","vod_sub","vod_en","vod_status","vod_letter","vod_color","vod_tag","vod_class","vod_pic","vod_pic_thumb","vod_pic_slide","vod_pic_screenshot","vod_actor","vod_director","vod_writer","vod_behind","vod_blurb","vod_remarks","vod_pubdate","vod_total","vod_serial","vod_tv","vod_weekday","vod_area","vod_lang","vod_year","vod_version","vod_state","vod_author","vod_jumpurl","vod_tpl","vod_tpl_play","vod_tpl_down","vod_isend","vod_lock","vod_level","vod_copyright","vod_points","vod_points_play","vod_points_down","vod_hits","vod_hits_day","vod_hits_week","vod_hits_month","vod_duration","vod_up","vod_down","vod_score","vod_score_all","vod_score_num","vod_time","vod_time_add","vod_time_hits","vod_time_make","vod_trysee","vod_douban_id","vod_douban_score","vod_reurl","vod_rel_vod","vod_rel_art","vod_pwd","vod_pwd_url","vod_pwd_play","vod_pwd_play_url","vod_pwd_down","vod_pwd_down_url","vod_content","vod_play_from","vod_play_server","vod_play_note","vod_play_url","vod_down_from","vod_down_server","vod_down_note","vod_down_url","vod_plot","vod_plot_name","vod_plot_detail"
"1","20","0","0","指名！","キュー,","CUEzhiming","1","C",,"CUE！指名,指名","2022年1月,游戏改,声优,TV","https://img.95189371.cn/pic/cover/l/8f/4d/318227_ad6A1.jpg",,,,"谷口元浩、副：西村理恵,,,松本浩樹","片貝慎","リベル・エンタテインメント",,"実績も経験もない、できたてホヤホヤの声優事務所『AiRBLUE』。そこに所属するのは個性豊かな声優の卵たち。彼女たちはいまの自分に何ができるのかを考え、それぞれが信じる形で夢へと駆け出していく！

しかし、夢を抱きつつも直面する厳しい現実。苦悩、挫折、葛藤――。いくら練習を重ねても、全員がオーディションに合格することは叶わない。声優を目指す者なら誰もがぶつかる壁を前に、彼女たちはどう立ち向かっていくのか？

新人声優たちによる物語が、いま始まる。",,"2022-01-07","36",,,,"日本","日语","2022","TV","正片","CYC",,,,,"1","0","0","0","0","0","0","2175","2","2","2",,"0","0","17.2","4563","265","1680697585","1646394282","1706955766","0","0","318227","6.4",,,,,,,,,,"<p>実績も経験もない、できたてホヤホヤの声優事務所『AiRBLUE』。そこに所属するのは個性豊かな声優の卵たち。彼女たちはいまの自分に何ができるのかを考え、それぞれが信じる形で夢へと駆け出していく！

しかし、夢を抱きつつも直面する厳しい現実。苦悩、挫折、葛藤――。いくら練習を重ねても、全員がオーディションに合格することは叶わない。声優を目指す者なら誰もがぶつかる壁を前に、彼女たちはどう立ち向かっていくのか？

新人声優たちによる物語が、いま始まる。</p>","cycp","no",,"第01集$https://cdn01.senhewenhua.com/5oyH5ZCN77yBLTAxLm1wNA==.mp3#第02集$https://cdn01.senhewenhua.com/5oyH5ZCN77yBLTAyLm1wNA==.mp3#第03集$https://cdn01.senhewenhua.com/5oyH5ZCN77yBLTAzLm1wNA==.mp3#第04集$https://cdn01.senhewenhua.com/5oyH5ZCN77yBLTA0Lm1wNA==.mp3#第05集$https://cdn01.senhewenhua.com/5oyH5ZCN77yBLTA1Lm1wNA==.mp3#第06集$https://cdn01.senhewenhua.com/5oyH5ZCN77yBLTA2Lm1wNA==.mp3#第07集$https://cdn01.senhewenhua.com/5oyH5ZCN77yBLTA3Lm1wNA==.mp3#第08集$https://cdn01.senhewenhua.com/5oyH5ZCN77yBLTA4Lm1wNA==.mp3#第09集$https://cdn01.senhewenhua.com/5oyH5ZCN77yBLTA5Lm1wNA==.mp3#第10集$https://cdn01.senhewenhua.com/5oyH5ZCN77yBLTEwLm1wNA==.mp3#第11集$https://cdn01.senhewenhua.com/5oyH5ZCN77yBLTExLm1wNA==.mp3#第12集$https://cdn01.senhewenhua.com/5oyH5ZCN77yBLTEyLm1wNA==.mp3#第13集$https://cdn01.senhewenhua.com/5oyH5ZCN77yBLTEzLm1wNA==.mp3#第14集$https://cdn01.senhewenhua.com/5oyH5ZCN77yBLTE0Lm1wNA==.mp3#第15集$https://cdn01.senhewenhua.com/5oyH5ZCN77yBLTE1Lm1wNA==.mp3#第16集$https://cdn01.senhewenhua.com/5oyH5ZCN77yBLTE2Lm1wNA==.mp3#第17集$https://cdn01.senhewenhua.com/5oyH5ZCN77yBLTE3Lm1wNA==.mp3#第18集$https://cdn01.senhewenhua.com/5oyH5ZCN77yBLTE4Lm1wNA==.mp3#第19集$https://cdn01.senhewenhua.com/5oyH5ZCN77yBLTE5Lm1wNA==.mp3#第20集$https://cdn01.senhewenhua.com/5oyH5ZCN77yBLTIwLm1wNA==.mp3#第21集$https://cdn01.senhewenhua.com/5oyH5ZCN77yBLTIxLm1wNA==.mp3#第22集$https://cdn01.senhewenhua.com/5oyH5ZCN77yBLTIyLm1wNA==.mp3#第23集$https://cdn01.senhewenhua.com/5oyH5ZCN77yBLTIzLm1wNA==.mp3#第24集$https://cdn01.senhewenhua.com/5oyH5ZCN77yBLTI0Lm1wNA==.mp3",,,,,"0",,
"3066","21","0","0","剑风传奇 黄金时代篇I 霸王之卵","BERSERK,烙印战士,","jianfengchuanqihuangjinshidaipianIbawangzhiluan","1","J",,,"剧场版,剑风传奇,Studio4℃,2012","https://img.95189371.cn/pic/cover/l/03/35/10840_r1fkI.jpg",,,,",,菱山徹、成田偉保、清瀬司、熊膳貴志、末武康光,",,,,"百年战争，世事颠倒，人心糜烂，贪欲横行。各国之间兼并攻伐，血流成河。只信任自己手中之剑，没有朋友、没有家人，也没有故乡——孤独的剑士格斯，作为佣兵在动荡的土地上四处奔走。他能自如地操纵超出身高的长剑，",,"2012-02-04","1",,,,"日本","日语","2012",,,"Xfani_Ryan",,,,,"1","0","0","0","0","0","0","9366","26","232","98",,"0","0","0.4","685","1606","1680700143","1680699482","1706967051","0","0","10840","7.6",,,,,,,,,,"<p>百年战争，世事颠倒，人心糜烂，贪欲横行。各国之间兼并攻伐，血流成河。只信任自己手中之剑，没有朋友、没有家人，也没有故乡——孤独的剑士格斯，作为佣兵在动荡的土地上四处奔走。他能自如地操纵超出身高的长剑，轻取强大的敌人。而注意到了这样的他，是率领雇佣兵集团“鹰之团”的格里菲斯。为了实现自己的梦想，具有超凡魅力和实力的格里菲斯邀请格斯加入鹰之团。在连番激烈的战斗中，格斯与战友建立起坚不可摧的友情，而他与格里菲斯的牵绊更成为了难以割舍的情感。

随着“鹰之团”成为米特兰王国的正规军，格里菲斯迈出了向着顶点的第一步。与此同时，格斯开始对被格里菲斯的“梦”所吞噬、只是挥舞剑的人生抱有疑问。但是，他们还不知道，无止尽的梦想给予了两个人，可怕的宿命——

本片根据漫画家三浦健太郎的同名原作改编，为“黄金时代”三部曲第一部，其他两部为《多尔多雷攻略》、《降临》。</p>","cycp","no",,"第01集$https://cdn01.senhewenhua.com/5YmR6aOO5Lyg5aWHIOm7hOmHkeaXtuS7o+evh0kg6Zy4546L5LmL5Y21Lm1wNA==.mp3",,,,,"0",,
"2","20","0","0","Slow Loop女孩的钓鱼漫话","SLOW LOOP-女孩的钓鱼慢活-,SLOW LOOP-女孩的釣魚慢活-,","SlowLoop","1","S",,"Slow Loop,nbsp,Slow,Loop,芳文社,#SLOWLOOP#,TV","芳文社,2022年1月,日常,百合","https://img.95189371.cn/pic/cover/l/e8/57/323626_4yEBY.jpg",,,,"滝本祥子,守田芸成,,諸熊倫子（スタジオ天神）","秋田谷典昭","うちのまいこ （まんがタイムきららフォワード / 芳文社）",,"在海边，少女日和独自一人享受着从亡父那里学来的飞蝇钓。
她和往常一样钓着鱼，这时和突然想跳入海中的天真烂漫少女小春相遇了。
两人决定一起钓鱼，但却发现，其实对方是父母再婚对象的孩子…？
以意想不到的相遇开始，然后成为「姐妹」的小春和日和，
你也来和她们一起，一边「钓鱼」一边享受悠闲日常吧！",,"2022-01-07","12",,,,"日本","日语","2022","TV","正片","CYC",,,,,"1","0","0","0","0","0","0","9356","17","79","40",,"0","0","2.2","2811","1304","1695865045","1646394379","1706864882","0","0","323626","6.9",,,,,,,,,,"<p>在海边，少女日和独自一人享受着从亡父那里学来的飞蝇钓。
她和往常一样钓着鱼，这时和突然想跳入海中的天真烂漫少女小春相遇了。
两人决定一起钓鱼，但却发现，其实对方是父母再婚对象的孩子…？
以意想不到的相遇开始，然后成为「姐妹」的小春和日和，
你也来和她们一起，一边「钓鱼」一边享受悠闲日常吧！</p>","cycp","no",,"第01集$https://cdn01.senhewenhua.com/U0xPVyBMT09QLS1TMDFFMDEubXA0.mp3#第02集$https://cdn01.senhewenhua.com/U0xPVyBMT09QLS1TMDFFMDIubXA0.mp3#第03集$https://cdn01.senhewenhua.com/U0xPVyBMT09QLS1TMDFFMDMubXA0.mp3#第04集$https://cdn01.senhewenhua.com/U0xPVyBMT09QLS1TMDFFMDQubXA0.mp3#第05集$https://cdn01.senhewenhua.com/U0xPVyBMT09QLS1TMDFFMDUubXA0.mp3#第06集$https://cdn01.senhewenhua.com/U0xPVyBMT09QLS1TMDFFMDYubXA0.mp3#第07集$https://cdn01.senhewenhua.com/U0xPVyBMT09QLS1TMDFFMDcubXA0.mp3#第08集$https://cdn01.senhewenhua.com/U0xPVyBMT09QLS1TMDFFMDgubXA0.mp3#第09集$https://cdn01.senhewenhua.com/U0xPVyBMT09QLS1TMDFFMDkubXA0.mp3#第10集$https://cdn01.senhewenhua.com/U0xPVyBMT09QLS1TMDFFMTAubXA0.mp3#第11集$https://cdn01.senhewenhua.com/U0xPVyBMT09QLS1TMDFFMTEubXA0.mp3#第12集$https://cdn01.senhewenhua.com/U0xPVyBMT09QLS1TMDFFMTIubXA0.mp3",,,,,"0",,
"3077","20","0","0","无神世界中的神明活动","Kaminaki Sekai no Kamisama Katsudou,在无神的世界进行信仰传播,無神世界中的神明活動,","wushenshijiezhongdeshenminghuodong","1","W",,,"2023年4月,漫画改,异世界,TV","https://img.95189371.cn/pic/cover/l/e5/59/377607_qIKi8.jpg",,,,"吉川佳織,,,","稲葉友紀","朱白あおい（原作）/半月板損傷（作画）『神無き世界のカミサマ活動』（ヒーローズ「コミプレ」連載）",,"卜部征人的父亲是一个怪异团体的教祖，他在父亲安排的严酷修行中不幸丧命，竟然转生到了异世界！ 这个没有“神”也没有“宗教”概念的异世界，对征人而言堪称理想世界！ 然而…为了保护在这里一起生活的居民，征人",,"2023-04-05","12",,,,"日本","日语","2023",,,"Xfani_Ryan",,,,,"1","0","0","0","0","0","0","240742","3","3","416",,"0","0","7.4","318","43","1688838139","1680712561","1706976511","0","0","377607","7.0",,,,,,,,,,"<p>卜部征人的父亲是一个怪异团体的教祖，他在父亲安排的严酷修行中不幸丧命，竟然转生到了异世界！ 这个没有“神”也没有“宗教”概念的异世界，对征人而言堪称理想世界！ 然而…为了保护在这里一起生活的居民，征人却不得不在这个没有神的异世界建立“宗教”?!</p>","cycp","no",,"第01集$https://cdn01.senhewenhua.com/5peg56We5LiW55WM5Lit55qE56We5piO5rS75YqoLUVQMDEubXA0.mp3#第02集$https://cdn01.senhewenhua.com/44CQ5o6o44GX44Gu5a2Q44CRIEthbWluYWtpIFNla2FpIG5vIEthbWlzYW1hIEthdHN1ZG91IC0gMDIgKENSIDE5MjB4MTA4MCBBVkMgQUFDIE1LVikgW0ZGNDAwQTIwXS5tcDQ=.mp3#第03集$https://cdn01.senhewenhua.com/5peg56We5LiW55WM55qE56We5piO5rS75YqoLUVQMDMubXA0.mp3#第04集$https://cdn01.senhewenhua.com/44CQ5o6o44GX44Gu5a2Q44CRIEthbWluYWtpIFNla2FpIG5vIEthbWlzYW1hIEthdHN1ZG91IC0gMDQgKENSIDE5MjB4MTA4MCBBVkMgQUFDIE1LVikgWzgyMzg0NzY3XS5tcDQ=.mp3#第05集$https://cdn01.senhewenhua.com/5peg56We5LiW55WM55qE56We5piO5rS75YqoLUVQMDUubXA0.mp3#第06集$https://cdn01.senhewenhua.com/5peg56We5LiW55WM55qE56We5piO5rS75YqoLUVQMDYubXA0.mp3#第07集$https://cdn01.senhewenhua.com/5peg56We5LiW55WMLUVQMDcubXA0.mp3#第08集$https://cdn01.senhewenhua.com/5peg56We5LiW55WM5Lit55qE56We5piO5rS75YqoLUVQMDgubXA0.mp3#第09集$https://cdn01.senhewenhua.com/W0dKLlldIEthbWluYWtpIFNla2FpIG5vIEthbWlzYW1hIEthdHN1ZG91IC0gMDkgKENSIDE5MjB4MTA4MCBBVkMgQUFDIE1LVikgWzhBQTQ1MkZFXS5tcDQ=.mp3#第10集$https://cdn01.senhewenhua.com/5peg56We5LiW55WMLUVQMTAubXA0.mp3#第11集$https://cdn01.senhewenhua.com/W0dKLlldIOaXoOelnuS4lueVjOS4reeahOelnuaYjua0u+WKqCAtIDExIChCLUdsb2JhbCAzODQweDIxNjAgSEVWQyBBQUMgTUtWKSBbQTFFMzQ2OUJdLm1wNA==.mp3#第12集$https://cdn01.senhewenhua.com/5peg56We5LiW55WM5Lit55qE56We5piO5rS75YqoMTIubXA0.mp3",,,,,"0",,
